time,predicted_temp,predicted_rhum,mold_risk,skin_dryness
2025-12-16 00:00:00,15.64,96.34,High,Low
2025-12-16 01:00:00,15.61,95.89,High,Low
2025-12-16 02:00:00,19.82,84.1,High,Low
2025-12-16 03:00:00,20.17,81.66,High,Low
2025-12-16 04:00:00,26.9,53.73,Low,Low
2025-12-16 05:00:00,27.9,69.84,Low,Low
2025-12-16 06:00:00,28.28,72.43,Medium,Low
2025-12-16 07:00:00,29.02,72.07,Medium,Low
2025-12-16 08:00:00,28.91,72.19,Medium,Low
2025-12-16 09:00:00,28.18,69.9,Low,Low
2025-12-16 10:00:00,28.18,69.91,Low,Low
2025-12-16 11:00:00,28.2,69.34,Low,Low
2025-12-16 12:00:00,28.62,70.14,Medium,Low
2025-12-16 13:00:00,26.31,68.66,Low,Low
2025-12-16 14:00:00,26.28,68.94,Low,Low
2025-12-16 15:00:00,26.2,69.21,Low,Low
2025-12-16 16:00:00,26.18,69.11,Low,Low
2025-12-16 17:00:00,26.18,69.11,Low,Low
2025-12-16 18:00:00,18.89,83.79,High,Low
2025-12-16 19:00:00,16.82,89.2,High,Low
2025-12-16 20:00:00,16.19,92.25,High,Low
2025-12-16 21:00:00,16.04,93.37,High,Low
2025-12-16 22:00:00,16.04,95.23,High,Low
2025-12-16 23:00:00,16.03,95.46,High,Low
